"","Pop_1","Pop_2","Pop_3"
"loc0180",0,0,0.1889
"loc0181",0.3214,0,0.2667
"loc0182",0.2321,0.4762,0.4
"loc0183",0.5357,0.5476,0.5
"loc0184",0.5,0.4286,0.5
"loc0185",0,0.1429,0.2778
"loc0186",0,0.1429,0.2778
"loc0187",0.4107,0.1429,0.1
"loc0188",0.5536,0,0
"loc0189",0.125,0,0.1
"loc0190",0,0.5,0.4333
"loc0191",0.5,0.5,0.4889
"loc0192",0,0.1429,0.1
"loc0193",0.125,0.5476,0.4111
"loc0194",0.2321,0,0
"loc0195",0.2321,0,0
"loc0196",0.2321,0.2619,0.1889
"loc0197",0.125,0.1429,0.1889
"loc0198",0.125,0.1429,0.1
"loc0199",0.125,0.1429,0.1
"loc0200",0.3929,0.3571,0.1
"loc0201",0.5179,0.381,0.3889
"loc0202",0.125,0.2619,0.1889
"loc0203",0,0.1429,0.2667
"loc0204",0,0,0.3444
"loc0205",0.125,0,0.1
"loc0206",0,0.4524,0
"loc0207",0,0.1429,0.1889
"loc0208",0.125,0.1429,0.1
"loc0209",0.2321,0.3571,0.1
"loc0210",0.2321,0.3571,0.1
"loc0211",0,0,0.1889
"loc0212",0.5,0.381,0.4556
"loc0213",0.5,0.381,0.4556
"loc0214",0.3929,0.5238,0.5111
"loc0215",0.5179,0.381,0.5444
"loc0216",0,0,0.1889
"loc0217",0,0,0.1889
"loc0218",0.125,0.1429,0
"loc0219",0.125,0.2619,0.4
"loc0220",0.125,0.1429,0.5333
"loc0221",0.125,0,0.1
"loc0222",0.125,0,0.1
"loc0223",0.125,0.1429,0
"loc0224",0.125,0,0.1
"loc0225",0.3214,0.5238,0.2667
"loc0226",0.3214,0.3571,0.2667
"loc0227",0.3929,0.5,0.2667
"loc0228",0.125,0.1429,0
"loc0229",0.3214,0.4524,0.4
"loc0230",0,0.1429,0.1
"loc0231",0.125,0.1429,0.3444
"loc0232",0.125,0.1429,0.3444
"loc0233",0,0,0.3333
"loc0234",0,0.1429,0.1
"loc0235",0,0,0.1889
"loc0236",0.125,0.3571,0.1889
"loc0237",0.125,0.2619,0
"loc0238",0.4643,0.4762,0.3333
"loc0239",0.2321,0.1429,0.1889
"loc0240",0.3929,0.381,0.3444
"loc0241",0.5179,0.5238,0.4667
"loc0242",0.5179,0.4524,0.5
"loc0243",0.125,0.1429,0.1
"loc0244",0,0,0.2778
"loc0245",0.25,0.1429,0.1889
"loc0246",0.125,0,0.1
"loc0247",0.3929,0.4524,0.3333
"loc0248",0.2321,0,0
"loc0249",0.125,0.1429,0
"loc0250",0.125,0.381,0.1
"loc0251",0.2321,0.3571,0.2667
"loc0252",0,0.381,0
"loc0253",0,0.2619,0
"loc0254",0,0.4286,0.5
"loc0255",0.125,0.4286,0.1889
"loc0256",0.125,0.1429,0.3333
"loc0257",0,0.2619,0
"loc0258",0.125,0,0.1
"loc0259",0.125,0.381,0.5111
"loc0260",0.5179,0.4524,0.5
"loc0261",0.125,0.1429,0.1
"loc0262",0.2321,0.2619,0.3333
"loc0263",0,0,0.1889
"loc0264",0.125,0.2619,0.1889
"loc0265",0.125,0,0.1889
"loc0266",0.2321,0.1429,0.1889
"loc0267",0.3214,0,0
"loc0268",0.2321,0,0
"loc0269",0,0,0.1889
"loc0270",0.125,0.1429,0.1889
"loc0271",0,0,0.3889
"loc0272",0,0,0.2
"loc0273",0.2321,0.1429,0.1
"loc0274",0.2321,0.1429,0.1
"loc0275",0.3929,0.1429,0.1
"loc0276",0,0.1429,0.1
"loc0277",0.2321,0.1429,0
"loc0278",0.5357,0.2857,0.5333
"loc0279",0.125,0.1429,0
"loc0280",0.125,0.2857,0.1
"loc0281",0.5357,0.2619,0.4
"loc0282",0.3214,0.2619,0.1889
"loc0283",0.5357,0.4286,0.5222
"loc0284",0.4464,0,0
"loc0285",0.3393,0.4286,0.4778
"loc0286",0,0.381,0
"loc0287",0.3214,0.4286,0.5
"loc0288",0.2321,0.1429,0
"loc0289",0.3214,0,0.2667
"loc0290",0,0.1429,0.1889
"loc0291",0.125,0,0.1
"loc0292",0.2321,0,0
"loc0293",0.2321,0.2619,0
"loc0294",0.2321,0,0
"loc0295",0.4643,0.5,0.2667
"loc0296",0.125,0,0.4
"loc0297",0,0,0.1889
"loc0298",0.4643,0,0
"loc0299",0.2321,0,0
"loc0300",0.2321,0,0
"loc0301",0.2321,0,0
"loc0302",0.2321,0,0
"loc0303",0,0.2619,0.2667
"loc0304",0.2321,0,0
"loc0305",0.125,0,0.1
"loc0306",0.4107,0.3571,0.4667
"loc0307",0.4464,0.1429,0.3444
"loc0308",0.5357,0.5238,0.5333
"loc0309",0.2321,0.5714,0.4556
"loc0310",0.125,0.1429,0.1889
"loc0311",0.2321,0.1429,0.2667
"loc0312",0.2321,0,0
"loc0313",0.3214,0.1429,0.1889
"loc0314",0,0.1429,0.1
"loc0315",0,0,0.1889
"loc0316",0,0,0.2667
"loc0317",0.2321,0,0
"loc0318",0,0.1429,0.1889
"loc0319",0.125,0.2619,0.1
"loc0320",0,0.1429,0.1889
"loc0321",0.125,0.1429,0.1889
"loc0322",0,0.1429,0.1
"loc0323",0.5536,0.5476,0.4333
"loc0324",0,0.1429,0.1
"loc0325",0,0.1429,0.1
"loc0326",0.5179,0.5476,0.5111
"loc0327",0,0.1429,0.1889
"loc0328",0.125,0.4524,0.2667
"loc0329",0.125,0.4524,0.2667
"loc0330",0.125,0.4524,0.2667
"loc0331",0.125,0.4524,0.2667
"loc0332",0,0,0.1889
"loc0333",0.4464,0.5476,0.1889
"loc0334",0.3929,0.3571,0.4556
"loc0335",0.125,0.3571,0.4333
"loc0336",0.2321,0.2619,0.1
"loc0337",0.4643,0.2619,0.2667
"loc0338",0,0.2619,0
"loc0339",0.5,0.5476,0.5111
"loc0340",0,0.1429,0.1
"loc0341",0,0.1429,0.1889
"loc0342",0,0,0.4778
"loc0343",0.25,0.1429,0.4333
"loc0344",0.5,0.4286,0.3889
"loc0345",0.3929,0.3571,0.2667
"loc0346",0.3929,0.2619,0.3333
"loc0347",0.3929,0.2619,0.3333
"loc0348",0.3929,0,0.1889
"loc0349",0.4464,0.4762,0.4333
"loc0350",0.125,0.2619,0.1889
"loc0351",0.2321,0.1429,0.3333
"loc0352",0.125,0.2619,0.1
"loc0353",0.5179,0.5238,0.5222
"loc0354",0.4107,0.3571,0.3333
"loc0355",0.4107,0.3571,0.3333
"loc0356",0,0,0.1889
"loc0357",0.125,0.1429,0.1
"loc0358",0.2321,0,0.1
"loc0359",0,0.1429,0.1
"loc0360",0.3393,0.5238,0.5111
"loc0361",0.2321,0,0.1889
"loc0362",0,0.2619,0.4556
"loc0363",0,0,0.1889
"loc0364",0,0,0.1889
"loc0365",0.3214,0.1429,0.1889
"loc0366",0.5,0.1429,0.2667
"loc0367",0.4107,0.1429,0.1889
"loc0368",0.4643,0.1429,0.3889
"loc0369",0.2321,0.2619,0.3444
"loc0370",0.2321,0,0
"loc0371",0,0.381,0.3444
"loc0372",0,0.1429,0.4556
"loc0373",0.125,0.4762,0.1
"loc0374",0,0,0.3444
"loc0375",0,0.1429,0.3444
"loc0376",0,0.1429,0.3444
"loc0377",0,0,0.1889
"loc0378",0,0,0.2667
"loc0379",0,0,0.2667
"loc0380",0.125,0.1429,0.2667
"loc0381",0.125,0.1429,0.2667
"loc0382",0.4643,0.3571,0.1
"loc0383",0.5357,0.3571,0.2667
"loc0384",0.4107,0.3571,0.4444
"loc0385",0,0.381,0
"loc0386",0,0,0.1889
"loc0387",0.125,0,0.1
"loc0388",0.125,0.5,0.2667
"loc0389",0.2321,0,0.1
"loc0390",0.125,0,0.1
"loc0391",0,0.1429,0.1
"loc0392",0,0.1429,0.1
"loc0393",0.125,0.3571,0.3333
"loc0394",0.3393,0.4762,0.3333
"loc0395",0,0.1429,0.1
"loc0396",0,0,0.2
"loc0397",0.125,0.1429,0.1889
"loc0398",0.2321,0,0
"loc0399",0.4643,0.3571,0.3333
"loc0400",0.25,0.2619,0.1
"loc0401",0.3214,0.2619,0
"loc0402",0.3214,0.2619,0
"loc0403",0,0,0.1889
"loc0404",0,0,0.1889
"loc0405",0,0,0.1889
"loc0406",0,0,0.1889
"loc0407",0,0,0.1889
"loc0408",0,0,0.1889
"loc0409",0,0,0.1889
"loc0410",0,0,0.1889
"loc0411",0,0,0.1889
"loc0412",0.3214,0.5238,0.5333
"loc0413",0.125,0.2619,0.2667
"loc0414",0,0,0.2
"loc0415",0.2321,0.3571,0.3889
"loc0416",0.4107,0.4286,0.4444
"loc0417",0,0.2619,0.1
"loc0418",0,0.2857,0.1
"loc0419",0.5357,0.5476,0.3444
"loc0420",0.4643,0.5,0.3444
"loc0421",0.125,0.381,0.3333
"loc0422",0.125,0.381,0.3333
"loc0423",0.125,0.1429,0.2667
"loc0424",0.2321,0.1429,0.2667
"loc0425",0.2321,0.4524,0.1
"loc0426",0.2321,0.4524,0.1
"loc0427",0.2321,0.4524,0.1
"loc0428",0.2321,0.4524,0.1
"loc0429",0.2321,0.4524,0.1
"loc0430",0.2321,0.4524,0.1
"loc0431",0.125,0.3571,0.1
"loc0432",0.125,0.3571,0.1
"loc0433",0,0,0.1889
"loc0434",0,0,0.1889
"loc0435",0.125,0.1429,0.1889
"loc0436",0,0.1429,0.1889
"loc0437",0,0.1429,0.1889
"loc0438",0.125,0.1429,0.1889
"loc0439",0,0,0.1889
"loc0440",0,0,0.1889
"loc0441",0,0.1429,0.1
"loc0442",0,0.2619,0.4667
"loc0443",0.25,0.1429,0.1889
"loc0444",0.4107,0.1429,0.1889
"loc0445",0,0,0.4667
"loc0446",0,0.3571,0.2667
"loc0447",0.125,0,0.1889
"loc0448",0.3214,0.5476,0.5444
"loc0449",0.125,0,0.1
"loc0450",0.4107,0.2857,0.1889
"loc0451",0.4107,0.2619,0.2778
"loc0452",0.2321,0,0
"loc0453",0.125,0.1429,0.4778
