"","Pop_1","Pop_2","Pop_3"
"loc0765",0.3929,0.4286,0.1889
"loc0766",0.3929,0.4286,0.1889
"loc0767",0.3929,0,0.1889
"loc0768",0.125,0.1429,0.3556
"loc0769",0.125,0.1429,0.3556
"loc0770",0.125,0.1429,0.3556
"loc0771",0.125,0,0.3556
"loc0772",0.125,0,0.3556
"loc0773",0.125,0,0.3556
"loc0774",0.125,0,0.3556
"loc0775",0.125,0,0.3556
"loc0776",0.125,0,0.1
"loc0777",0.4643,0.5476,0.5222
"loc0778",0.5,0.5,0.5111
"loc0779",0,0.2619,0.3333
"loc0780",0,0,0.1889
"loc0781",0.3214,0.2619,0.2778
"loc0782",0.125,0.1429,0.3333
"loc0783",0.125,0.2619,0.2667
"loc0784",0.125,0.2619,0.4778
"loc0785",0.4464,0.4286,0.5222
"loc0786",0,0.4286,0.1
"loc0787",0.125,0.1429,0.1
"loc0788",0.4821,0.5238,0.5
"loc0789",0.4821,0.5238,0.5222
"loc0790",0.2321,0,0
"loc0791",0.3214,0.5476,0.4889
"loc0792",0.2321,0.2619,0
"loc0793",0,0.2619,0.4111
"loc0794",0.2321,0,0
"loc0795",0.2321,0,0
"loc0796",0,0.2619,0.2
"loc0797",0.2321,0.5238,0.3333
"loc0798",0.5,0.4524,0.3889
"loc0799",0.5357,0.5,0.4444
"loc0800",0.3929,0,0.1
"loc0801",0.125,0,0.1
"loc0802",0.2321,0.5,0.5222
"loc0803",0.125,0.1429,0.4
"loc0804",0,0.1429,0.1
"loc0805",0.2321,0.4286,0.1889
"loc0806",0.4107,0.1429,0.1
"loc0807",0.3214,0.4286,0.3333
"loc0808",0.2321,0.4762,0.2667
"loc0809",0.125,0,0.1
"loc0810",0,0.1429,0.1
"loc0811",0,0.1429,0.1889
"loc0812",0.2321,0.5238,0.4778
"loc0813",0.2321,0.5,0.3444
"loc0814",0.2321,0.5,0.3444
"loc0815",0.2321,0,0.2667
"loc0816",0.3929,0.3571,0.4333
"loc0817",0.125,0,0.1
"loc0818",0.2321,0.1429,0.2667
"loc0819",0.3214,0,0.2667
"loc0820",0,0,0.1889
"loc0821",0.3214,0.4286,0.2667
"loc0822",0.4107,0.2619,0.1
"loc0823",0.125,0.2619,0.1889
"loc0824",0,0.1429,0.2
"loc0825",0.125,0,0.2778
"loc0826",0.2321,0.2619,0.2
"loc0827",0.3929,0.4762,0.5111
"loc0828",0,0.1429,0.1889
"loc0829",0.5179,0.3571,0.4444
"loc0830",0,0.1429,0.1889
"loc0831",0.4643,0.2619,0.1889
"loc0832",0,0.3571,0.1
"loc0833",0,0.2619,0.1
"loc0834",0,0,0.1889
"loc0835",0,0.2619,0
"loc0836",0.2321,0.3571,0.1889
"loc0837",0.2321,0.3571,0.1889
"loc0838",0,0.2619,0
"loc0839",0,0.2619,0.1889
"loc0840",0,0.2619,0
"loc0841",0.2321,0,0
"loc0842",0,0.2619,0
"loc0843",0.125,0.2619,0.4778
"loc0844",0.125,0.2619,0.4778
"loc0845",0,0.1429,0.4556
"loc0846",0.3214,0.5476,0.4444
"loc0847",0.125,0,0.1
"loc0848",0.125,0,0.1
"loc0849",0,0.1429,0.3333
"loc0850",0,0,0.1889
"loc0851",0,0,0.1889
"loc0852",0,0,0.1889
"loc0853",0.2321,0.3571,0.4889
"loc0854",0,0.2619,0.1
"loc0855",0,0.1429,0.1
"loc0856",0,0.1429,0.1
"loc0857",0,0.1429,0.1
"loc0858",0,0.1429,0.1
"loc0859",0,0.1429,0.1
"loc0860",0,0.381,0
"loc0861",0.2321,0.1429,0.1889
"loc0862",0.3214,0.1429,0.1
"loc0863",0.2321,0,0
"loc0864",0.4821,0,0.1
"loc0865",0.2321,0.1429,0.3444
"loc0866",0.125,0,0.3556
"loc0867",0.125,0.3571,0.5222
"loc0868",0,0.1429,0.1
"loc0869",0,0.1429,0.1
"loc0870",0,0.1429,0.1
"loc0871",0,0.1429,0.1
"loc0872",0,0.1429,0.1
"loc0873",0,0.1429,0.1
"loc0874",0,0.1429,0.1
"loc0875",0,0.1429,0.1
"loc0876",0,0.1429,0.1
"loc0877",0.5,0.381,0.5111
"loc0878",0.3393,0.2857,0.1
"loc0879",0.125,0,0.1
"loc0880",0.5179,0.5476,0.5
"loc0881",0.5357,0.5476,0.5
"loc0882",0,0.2619,0
"loc0883",0.5357,0.5,0.4444
"loc0884",0.3214,0.5,0.5111
"loc0885",0.3393,0.3571,0.4889
"loc0886",0.4643,0.5238,0.5222
"loc0887",0.3214,0,0.1
"loc0888",0.5357,0.4286,0.5222
"loc0889",0.3214,0.1429,0.1
"loc0890",0.3214,0.1429,0.1
"loc0891",0.3214,0.1429,0.1
"loc0892",0.3214,0.1429,0.1
"loc0893",0.3214,0.1429,0.1
"loc0894",0.2321,0.5,0.2667
"loc0895",0.4643,0.5238,0.1
"loc0896",0,0.1429,0.1
"loc0897",0.125,0.1429,0
"loc0898",0.125,0.1429,0
"loc0899",0.125,0.1429,0
"loc0900",0.125,0.1429,0
"loc0901",0.125,0.1429,0
"loc0902",0.4464,0,0.4556
"loc0903",0,0.2619,0.1889
"loc0904",0,0,0.1889
"loc0905",0,0,0.4889
"loc0906",0,0,0.1889
"loc0907",0,0.2619,0
"loc0908",0.125,0,0.1
"loc0909",0.125,0,0.1
"loc0910",0.125,0,0.1
"loc0911",0.125,0.1429,0.1
"loc0912",0.2321,0,0
"loc0913",0.125,0.3571,0.3444
"loc0914",0,0.2619,0
"loc0915",0.4643,0.5238,0.4889
"loc0916",0.5,0.5714,0.4444
"loc0917",0.125,0.1429,0.1889
"loc0918",0.125,0.1429,0.1889
"loc0919",0.125,0.3571,0.1889
"loc0920",0,0,0.1889
"loc0921",0.125,0.3571,0.1889
"loc0922",0.125,0.3571,0.1889
"loc0923",0.125,0.3571,0.1889
"loc0924",0,0,0.1889
"loc0925",0.125,0.2619,0.1889
"loc0926",0.125,0.3571,0.1889
"loc0927",0.125,0.4286,0.1889
"loc0928",0,0.1429,0.1889
"loc0929",0.125,0.3571,0.1889
"loc0930",0.5179,0.4762,0.4778
"loc0931",0.125,0.3571,0.1889
"loc0932",0.125,0.3571,0.1
"loc0933",0.4821,0.5,0.2667
"loc0934",0.2321,0.2619,0.1889
"loc0935",0.4464,0.2619,0.2667
"loc0936",0.125,0.2857,0.1
"loc0937",0.4107,0.4286,0.4778
"loc0938",0,0.2619,0
"loc0939",0.125,0,0.1
"loc0940",0.25,0.4762,0.3556
"loc0941",0,0.2857,0
"loc0942",0,0,0.2
"loc0943",0.25,0,0.2
"loc0944",0,0,0.2
"loc0945",0,0,0.2778
"loc0946",0.3929,0,0.2667
"loc0947",0.3214,0,0.1889
"loc0948",0.4107,0.2619,0.4778
"loc0949",0.5179,0.4524,0.5
"loc0950",0,0.1429,0.1889
"loc0951",0,0.1429,0.1889
"loc0952",0,0.1429,0.1889
"loc0953",0,0.1429,0.1889
"loc0954",0,0.1429,0.1889
"loc0955",0,0.1429,0.1889
"loc0956",0,0.1429,0.1889
"loc0957",0,0.1429,0.1889
"loc0958",0,0.1429,0.1889
"loc0959",0,0.1429,0.1889
"loc0960",0,0.1429,0.1889
"loc0961",0.2321,0.1429,0.4556
"loc0962",0.3214,0.2619,0.1889
"loc0963",0.5179,0,0
"loc0964",0.4107,0.2619,0.3444
"loc0965",0.5179,0,0
"loc0966",0.2321,0,0
"loc0967",0.2321,0.1429,0.1889
"loc0968",0.4464,0.5238,0.4778
"loc0969",0.4107,0.381,0.3333
"loc0970",0,0,0.1889
"loc0971",0.4464,0.381,0.1
"loc0972",0.4821,0.381,0.1
"loc0973",0.3214,0.2619,0.3444
"loc0974",0.3929,0.381,0.2
"loc0975",0.125,0,0.1
"loc0976",0.5357,0.2619,0.4889
"loc0977",0,0,0.2
"loc0978",0.2321,0,0
"loc0979",0.2321,0,0
"loc0980",0.3393,0.1429,0
"loc0981",0.4107,0.2619,0
"loc0982",0.2321,0,0
"loc0983",0.3393,0.2619,0
"loc0984",0.3393,0.2619,0
"loc0985",0.2321,0,0
"loc0986",0.2321,0,0
"loc0987",0.4643,0.4762,0.5333
"loc0988",0.5536,0.5,0.4667
"loc0989",0.125,0.2619,0
"loc0990",0,0.1429,0.1889
"loc0991",0.4821,0.5238,0.4444
"loc0992",0.125,0,0.1889
"loc0993",0.3214,0.5,0.4667
"loc0994",0,0.2619,0
"loc0995",0.2321,0,0.1
"loc0996",0,0,0.2
"loc0997",0.3929,0.5,0.3333
"loc0998",0.3929,0.5,0.2667
"loc0999",0.3393,0.4286,0.3444
"loc1000",0.125,0,0.1
"loc1001",0.3929,0.5,0.4778
"loc1002",0.3214,0,0.2667
"loc1003",0.125,0,0.1
"loc1004",0,0.4286,0
"loc1005",0,0.1429,0.1
"loc1006",0.4464,0.5,0.5
"loc1007",0,0.1429,0.1889
"loc1008",0,0.1429,0.1
"loc1009",0.5179,0.4286,0.4556
"loc1010",0.25,0,0
"loc1011",0.2321,0.2619,0
"loc1012",0.125,0.3571,0.2778
"loc1013",0.4821,0.381,0.5222
"loc1014",0.2321,0.4524,0.2667
"loc1015",0.2321,0.4286,0.5333
"loc1016",0.5179,0.5,0.3444
"loc1017",0,0.2619,0.2667
"loc1018",0,0.1429,0.1889
"loc1019",0,0.2619,0
"loc1020",0.5,0.4762,0.5111
"loc1021",0.4821,0.4762,0.4
"loc1022",0.125,0,0.1
"loc1023",0.5,0.5,0.3444
"loc1024",0.3393,0,0.2667
"loc1025",0.4464,0.5238,0.5
"loc1026",0.125,0.1429,0.3333
"loc1027",0,0.1429,0.2667
"loc1028",0.125,0,0.2
"loc1029",0.3214,0.1429,0.3333
"loc1030",0.125,0.1429,0
"loc1031",0.125,0.2619,0.3333
"loc1032",0,0,0.1889
"loc1033",0,0,0.1889
"loc1034",0,0.1429,0.1889
"loc1035",0.125,0.3571,0.1889
"loc1036",0,0.3571,0.1889
"loc1037",0,0.3571,0.1889
"loc1038",0,0.2619,0.1889
"loc1039",0,0.1429,0.1889
"loc1040",0,0.1429,0.1889
"loc1041",0,0,0.1889
"loc1042",0,0,0.1889
"loc1043",0,0,0.1889
"loc1044",0,0,0.1889
"loc1045",0,0,0.1889
"loc1046",0,0,0.1889
"loc1047",0,0,0.1889
"loc1048",0,0,0.1889
"loc1049",0,0,0.1889
"loc1050",0,0,0.1889
"loc1051",0,0.1429,0.1
"loc1052",0.5,0.4524,0.4556
"loc1053",0.2321,0,0.1
"loc1054",0.125,0,0.1
"loc1055",0.125,0,0.1
"loc1056",0.125,0.5238,0.5333
"loc1057",0.2321,0,0
"loc1058",0.5357,0.4286,0.4778
"loc1059",0.4464,0.5,0.5222
"loc1060",0,0.1429,0.1889
"loc1061",0.3929,0.4286,0.5222
"loc1062",0,0.2619,0.1
"loc1063",0,0.4524,0.1
"loc1064",0,0.4524,0.1
"loc1065",0,0,0.1889
"loc1066",0,0,0.1889
"loc1067",0,0.2619,0.1889
"loc1068",0,0.1429,0.1
"loc1069",0.5179,0.1429,0
"loc1070",0,0,0.1889
"loc1071",0.3393,0.3571,0.3889
"loc1072",0.3214,0.5476,0.1889
"loc1073",0.2321,0,0
"loc1074",0.125,0.4524,0.1
"loc1075",0.2321,0.5238,0.4444
"loc1076",0,0.2619,0
"loc1077",0.125,0.1429,0
"loc1078",0.2321,0.4524,0.4889
"loc1079",0.125,0.1429,0
"loc1080",0.5179,0.5476,0.4778
"loc1081",0.4643,0.5476,0.4889
"loc1082",0.125,0.1429,0.1
"loc1083",0.125,0.1429,0.1
"loc1084",0.2321,0,0
"loc1085",0.5,0.4286,0.5333
"loc1086",0.2321,0.1429,0.3889
"loc1087",0.2321,0,0
"loc1088",0,0.2619,0.4556
"loc1089",0,0.1429,0.2
"loc1090",0.125,0.2857,0.1889
"loc1091",0.5357,0.5238,0.5
"loc1092",0.3214,0.1429,0.2667
"loc1093",0.125,0.1429,0.1889
"loc1094",0.125,0.1429,0
"loc1095",0.125,0.1429,0
"loc1096",0.125,0.1429,0
"loc1097",0.3214,0.3571,0.5333
"loc1098",0.125,0.1429,0.2667
"loc1099",0,0.4762,0.1
"loc1100",0,0.1429,0.1
"loc1101",0,0.5476,0.5222
"loc1102",0,0.381,0.4
"loc1103",0,0,0
"loc1104",0,0.2619,0.1889
"loc1105",0.125,0.5,0.2667
"loc1106",0.4286,0.2619,0.4778
"loc1107",0.2321,0,0.1
"loc1108",0.3214,0.1429,0.2667
"loc1109",0.4821,0,0.4778
"loc1110",0.2321,0.5238,0.4
"loc1111",0,0,0.2667
"loc1112",0.2321,0,0.2
"loc1113",0.2321,0.5238,0.1889
"loc1114",0.4643,0.5238,0.5
"loc1115",0.5,0.4286,0.5
"loc1116",0.5357,0.4286,0.5
"loc1117",0,0.1429,0.1
"loc1118",0.5,0.4286,0.4444
"loc1119",0.3214,0.2857,0.2667
"loc1120",0.5,0.4286,0.4778
"loc1121",0.5,0.3571,0.4444
"loc1122",0.5,0.3571,0.4444
"loc1123",0.4643,0,0
"loc1124",0,0.3571,0.5111
"loc1125",0.125,0.4524,0.1
"loc1126",0,0.2619,0
"loc1127",0.125,0,0.2667
"loc1128",0.125,0.1429,0
"loc1129",0,0.1429,0.4
"loc1130",0,0.5,0.4444
"loc1131",0.2321,0.2619,0.2667
"loc1132",0,0.1429,0.1
"loc1133",0.5179,0.4286,0.4
"loc1134",0,0.2619,0
"loc1135",0,0.3571,0
"loc1136",0.125,0.3571,0
"loc1137",0.4643,0.4286,0.4333
"loc1138",0.2321,0.1429,0.3889
"loc1139",0.3929,0.3571,0
"loc1140",0.125,0.1429,0.1
"loc1141",0.5536,0.4286,0.4444
"loc1142",0,0,0.1889
"loc1143",0,0.381,0.2667
"loc1144",0,0.1429,0.1889
"loc1145",0.4821,0.5238,0.5222
"loc1146",0.125,0.1429,0
"loc1147",0.2321,0,0
"loc1148",0,0.3571,0.1
"loc1149",0,0,0.1889
"loc1150",0.125,0.4286,0.1889
"loc1151",0.125,0.4286,0.1889
"loc1152",0.125,0.4286,0.1889
"loc1153",0.125,0.4286,0.1889
"loc1154",0.125,0.4286,0.1889
"loc1155",0.125,0.3571,0.1889
"loc1156",0.125,0.3571,0.1889
"loc1157",0,0.3571,0.2778
"loc1158",0,0.3571,0.2778
"loc1159",0,0.3571,0.2778
"loc1160",0,0.3571,0.2778
"loc1161",0,0.3571,0.2778
"loc1162",0,0.3571,0.2778
"loc1163",0,0.3571,0.1889
"loc1164",0,0.3571,0.2778
"loc1165",0,0.3571,0.2778
"loc1166",0,0,0.1889
"loc1167",0,0.2619,0
"loc1168",0.2321,0.2619,0.4
"loc1169",0.2321,0.5,0.1
"loc1170",0,0.3571,0.2778
"loc1171",0.5,0.381,0.1889
"loc1172",0.125,0,0.1889
"loc1173",0.3929,0.5,0.5111
"loc1174",0,0,0.2667
"loc1175",0.4464,0,0
"loc1176",0.125,0,0.1889
"loc1177",0.2321,0.1429,0
"loc1178",0.125,0,0.1889
"loc1179",0.3214,0.5,0.2667
"loc1180",0.2321,0.2619,0.1
"loc1181",0.3214,0.1429,0.4444
"loc1182",0.3214,0,0.1889
"loc1183",0.3393,0.4524,0
"loc1184",0.125,0.1429,0
"loc1185",0.4464,0.1429,0.1
"loc1186",0.125,0.2619,0.1
"loc1187",0,0,0.1889
"loc1188",0,0,0.1889
"loc1189",0,0,0.1889
"loc1190",0,0,0.1889
"loc1191",0,0.2619,0.4333
"loc1192",0,0,0.1889
"loc1193",0,0,0.1889
"loc1194",0,0,0.1889
"loc1195",0.125,0.5238,0.3333
"loc1196",0.125,0.5238,0.3333
"loc1197",0.125,0.5,0.3333
"loc1198",0.125,0.4524,0.5
"loc1199",0.2321,0,0.1889
"loc1200",0.2321,0.5476,0.5222
"loc1201",0.2321,0,0.2667
"loc1202",0.2321,0,0.2667
"loc1203",0,0,0.1889
"loc1204",0.125,0.3571,0.1
"loc1205",0.3214,0.1429,0.2667
"loc1206",0.2321,0,0.2667
"loc1207",0,0.1429,0.1
"loc1208",0,0.3571,0.2778
"loc1209",0.125,0,0.1
"loc1210",0,0.381,0
"loc1211",0.3393,0.2619,0
"loc1212",0,0.2619,0
"loc1213",0.125,0.2619,0.1
"loc1214",0,0.2619,0
"loc1215",0,0,0.2
"loc1216",0.125,0,0.1
"loc1217",0.25,0.1429,0.1
"loc1218",0.3929,0.5,0.5111
"loc1219",0,0,0.2
"loc1220",0.4821,0.3571,0.2667
"loc1221",0.4107,0.2619,0.3444
"loc1222",0.4107,0.5238,0.4778
"loc1223",0.3214,0,0
"loc1224",0.2321,0,0.2667
"loc1225",0,0,0.2667
"loc1226",0.125,0.2619,0.1
"loc1227",0.5179,0.4286,0.4333
"loc1228",0.5357,0.5238,0.4111
"loc1229",0.3214,0.4286,0.4778
"loc1230",0.4464,0.1429,0.4778
"loc1231",0.5357,0.5238,0.4444
"loc1232",0.5357,0.5238,0.4444
"loc1233",0.5536,0.1429,0.5222
"loc1234",0,0,0.1889
"loc1235",0.2321,0.3571,0.3889
"loc1236",0.4643,0.2619,0.5222
"loc1237",0,0.1429,0.1
"loc1238",0.125,0.1429,0.3333
"loc1239",0.4107,0.3571,0.1889
"loc1240",0.125,0,0.1889
"loc1241",0,0.2619,0
"loc1242",0.3214,0,0.1
"loc1243",0.4107,0,0.3333
"loc1244",0.4643,0.3571,0.2
"loc1245",0.3214,0.4762,0.4778
"loc1246",0.25,0.2619,0.4
"loc1247",0.3214,0.3571,0.4444
"loc1248",0.3214,0.3571,0.4444
"loc1249",0,0.2619,0.1
"loc1250",0.5357,0.3571,0.4444
"loc1251",0.3214,0.381,0.3889
"loc1252",0.5357,0.5476,0.5111
"loc1253",0.2321,0.5238,0.4111
"loc1254",0.2321,0.5238,0.4111
"loc1255",0.125,0.5,0.1
"loc1256",0.4643,0.1429,0.2
"loc1257",0.125,0,0.1
"loc1258",0.125,0.381,0
"loc1259",0.125,0.381,0.1
"loc1260",0,0.1429,0.1889
"loc1261",0.2321,0.1429,0
"loc1262",0.125,0,0.1
"loc1263",0.125,0.1429,0.1
"loc1264",0.125,0,0.1
"loc1265",0.4464,0.1429,0.4
"loc1266",0,0.4286,0.1889
"loc1267",0.125,0.5,0.4778
"loc1268",0,0.2619,0.1
"loc1269",0,0,0.2
"loc1270",0.4107,0,0.2
"loc1271",0.5357,0,0.1889
"loc1272",0.5357,0.2619,0.4556
"loc1273",0.5179,0.2619,0.5222
"loc1274",0.125,0,0.1
"loc1275",0.3929,0.2619,0.2667
"loc1276",0.125,0.2619,0.1
"loc1277",0.125,0,0.1
"loc1278",0.125,0.1429,0.1
"loc1279",0.125,0.1429,0
"loc1280",0,0.1429,0.1
"loc1281",0.5,0.3571,0.4778
"loc1282",0.125,0.1429,0.1
"loc1283",0.125,0.2619,0.1889
"loc1284",0,0,0.2667
"loc1285",0.2321,0,0.1
"loc1286",0.5179,0.5238,0.5222
"loc1287",0.3929,0.1429,0.1
"loc1288",0,0.2619,0.1
"loc1289",0.2321,0.1429,0.1
"loc1290",0,0.4286,0.5111
"loc1291",0,0.381,0.1889
"loc1292",0,0.2619,0.2667
"loc1293",0,0.2857,0.1889
"loc1294",0,0.2857,0.1889
"loc1295",0,0.2857,0.1889
"loc1296",0,0.2857,0.1889
"loc1297",0.4821,0.1429,0.4667
"loc1298",0.5,0.4286,0.5333
"loc1299",0,0.1429,0.1
"loc1300",0.3393,0.2619,0.5111
"loc1301",0,0,0.1889
"loc1302",0,0,0.1889
"loc1303",0.125,0.1429,0.1889
"loc1304",0.125,0.1429,0.1889
"loc1305",0.5,0.3571,0.1889
"loc1306",0.5179,0.5238,0.4444
"loc1307",0.2321,0,0
"loc1308",0.125,0,0.1
"loc1309",0.2321,0.2619,0.1889
"loc1310",0.125,0.4286,0.2667
"loc1311",0.4643,0.5476,0.5222
"loc1312",0.4107,0.5238,0.3333
"loc1313",0.125,0,0.2778
"loc1314",0.4821,0.4286,0.2667
"loc1315",0.3929,0.2619,0.3333
"loc1316",0.3214,0.2619,0.2667
"loc1317",0.2321,0.1429,0.1889
"loc1318",0,0,0.2667
"loc1319",0.125,0.2857,0.1
"loc1320",0.2321,0.2857,0.1889
"loc1321",0,0.4524,0.4778
"loc1322",0.125,0.4762,0.2667
"loc1323",0.3929,0.1429,0.1
"loc1324",0.2321,0,0.2667
"loc1325",0,0.381,0.4
"loc1326",0.125,0.3571,0.1889
"loc1327",0.5357,0.5238,0.5222
"loc1328",0.125,0.381,0.4778
"loc1329",0.4643,0.5238,0.5222
"loc1330",0.5179,0.5476,0.5111
"loc1331",0.5179,0.1429,0.4444
"loc1332",0.5,0,0
"loc1333",0.5,0,0
"loc1334",0,0.1429,0.1
"loc1335",0.125,0,0.2
"loc1336",0.2321,0.2857,0.3333
"loc1337",0.2321,0.2857,0.3333
"loc1338",0.2321,0.2857,0.4
"loc1339",0.3214,0.2619,0.4556
"loc1340",0,0,0.1889
"loc1341",0.2321,0.2619,0.2778
"loc1342",0.3929,0.3571,0.4
"loc1343",0.5179,0.5,0.4889
"loc1344",0.3393,0.2619,0
"loc1345",0,0.2857,0
"loc1346",0.2321,0,0.3889
"loc1347",0.5,0.4286,0.5222
"loc1348",0.5357,0.381,0.5
"loc1349",0,0.1429,0.2
"loc1350",0.3393,0.1429,0.1889
"loc1351",0.125,0,0.1
"loc1352",0.4643,0.5238,0.4889
"loc1353",0.2321,0.5,0.4333
"loc1354",0,0.2619,0
"loc1355",0.125,0.1429,0
"loc1356",0.125,0,0.1
"loc1357",0.2321,0,0.1
"loc1358",0.2321,0.2619,0.4444
"loc1359",0.3214,0.2619,0.5
"loc1360",0.3393,0.5,0
"loc1361",0.3214,0.1429,0.1
"loc1362",0.3214,0.1429,0.3333
"loc1363",0,0.2619,0.1
"loc1364",0.3929,0.1429,0.4
"loc1365",0.3214,0,0.1889
"loc1366",0.3214,0,0.1889
"loc1367",0.125,0,0.1
"loc1368",0,0,0.2667
"loc1369",0.3214,0.4762,0.4889
"loc1370",0.125,0.3571,0.1889
"loc1371",0,0.5238,0.1889
"loc1372",0,0.5,0.1889
"loc1373",0,0.4524,0.1889
"loc1374",0.2321,0,0
"loc1375",0.5179,0.4524,0.3333
"loc1376",0.5179,0.5,0.5
"loc1377",0.4643,0.5,0.5333
"loc1378",0.125,0.1429,0.1
"loc1379",0.125,0,0.2667
"loc1380",0,0.3571,0.5222
"loc1381",0,0,0
"loc1382",0.3393,0,0
"loc1383",0,0,0.3889
"loc1384",0.3393,0,0
"loc1385",0,0.2619,0
"loc1386",0.3929,0,0
"loc1387",0,0,0.3333
"loc1388",0.5357,0.1429,0
"loc1389",0,0,0.2
"loc1390",0.3929,0.2619,0.3444
"loc1391",0,0.1429,0.1
"loc1392",0,0.1429,0.1889
"loc1393",0.125,0.1429,0.1
"loc1394",0.125,0.1429,0
"loc1395",0,0,0.2667
"loc1396",0.5,0.5,0.5
"loc1397",0.5,0.5,0.5
"loc1398",0.5,0.5,0.5
"loc1399",0,0,0.1889
"loc1400",0.5179,0.5476,0.5
"loc1401",0.3214,0,0.1889
"loc1402",0.5357,0.5238,0.5
"loc1403",0.3214,0.1429,0
"loc1404",0.2321,0.1429,0.3889
"loc1405",0.4643,0.3571,0.4444
"loc1406",0,0,0.4778
"loc1407",0.125,0.4286,0
"loc1408",0.125,0.4286,0
"loc1409",0,0.1429,0.1889
"loc1410",0.125,0.2619,0
"loc1411",0,0.1429,0.1
"loc1412",0.5357,0,0.1889
"loc1413",0,0,0.2667
"loc1414",0,0.1429,0.1889
"loc1415",0.3214,0.2619,0.4333
"loc1416",0.4464,0.1429,0.3444
"loc1417",0.5357,0.4762,0.4778
"loc1418",0.5179,0.5,0.5222
"loc1419",0.2321,0.1429,0.1889
"loc1420",0,0.1429,0.1889
"loc1421",0,0.1429,0.1889
"loc1422",0.2321,0.2619,0.1
"loc1423",0.2321,0.1429,0
"loc1424",0.3214,0.2619,0.2
"loc1425",0.3214,0.5,0.4
"loc1426",0.125,0.2619,0.5222
"loc1427",0.2321,0,0.1
"loc1428",0.2321,0,0.1
"loc1429",0.5179,0.5476,0.4444
"loc1430",0.5179,0.4762,0.4444
"loc1431",0.2321,0.1429,0
"loc1432",0.3214,0.1429,0
"loc1433",0.2321,0.4762,0.1
"loc1434",0.3214,0.5476,0.2667
"loc1435",0.5357,0.5,0.5111
"loc1436",0.2321,0,0
"loc1437",0.2321,0.1429,0
"loc1438",0.125,0,0.1889
"loc1439",0.2321,0.381,0.4778
"loc1440",0.2321,0.381,0.4333
"loc1441",0.3214,0,0.1889
"loc1442",0.2321,0.4762,0.2667
"loc1443",0.4107,0.3571,0.4889
"loc1444",0.5,0.5238,0.4333
"loc1445",0,0.1429,0.1
"loc1446",0.4107,0.4762,0.3889
"loc1447",0.3214,0.3571,0.3333
"loc1448",0.2321,0.2857,0.2667
"loc1449",0.125,0,0.1
"loc1450",0.4464,0.5476,0.3333
"loc1451",0.5179,0.5,0.4333
"loc1452",0.125,0.2619,0.2667
"loc1453",0.3214,0.2619,0.3889
"loc1454",0.2321,0.1429,0.2667
"loc1455",0,0,0.1889
"loc1456",0,0.381,0
"loc1457",0.2321,0,0.1889
"loc1458",0.4643,0.5,0.3333
"loc1459",0.3214,0,0
"loc1460",0.3214,0,0
"loc1461",0.4464,0,0.3333
"loc1462",0.3929,0.5,0.4889
"loc1463",0.3929,0.5,0.1889
"loc1464",0,0.3571,0.2667
"loc1465",0.5,0.4762,0.3444
"loc1466",0.5179,0.5238,0.4111
"loc1467",0.125,0.1429,0.1
"loc1468",0.3214,0,0.1
"loc1469",0,0.2619,0.1889
"loc1470",0,0.1429,0.1
"loc1471",0.3393,0.1429,0.1
"loc1472",0.4107,0.1429,0.1889
"loc1473",0.3393,0.1429,0.1889
"loc1474",0.4107,0,0.1
"loc1475",0.4286,0.5,0.1889
"loc1476",0.3929,0.381,0.1889
"loc1477",0.2321,0.2619,0.2667
"loc1478",0.125,0.3571,0
"loc1479",0.125,0.4286,0.1
"loc1480",0.3214,0.4286,0.3333
"loc1481",0,0.2619,0.1
"loc1482",0.3929,0.4286,0.3333
"loc1483",0,0.2619,0.1
"loc1484",0.2321,0,0
"loc1485",0.3214,0,0
"loc1486",0.5,0.1429,0.2667
"loc1487",0.3393,0.4524,0.2667
"loc1488",0,0,0.4111
"loc1489",0.3214,0.4524,0.2667
"loc1490",0.5357,0.5238,0.4667
"loc1491",0,0.2619,0.1889
"loc1492",0.5357,0.4762,0.3333
"loc1493",0.4107,0.2619,0.4778
"loc1494",0.125,0.5476,0.3889
"loc1495",0.125,0,0.1
"loc1496",0,0.1429,0.1
"loc1497",0.2321,0,0.1889
"loc1498",0.2321,0,0.1889
"loc1499",0,0.1429,0.1
"loc1500",0.2321,0.1429,0.4
"loc1501",0.5179,0,0
"loc1502",0.5179,0,0
"loc1503",0.125,0.4762,0.3444
"loc1504",0.3929,0.1429,0.2667
"loc1505",0.125,0.1429,0.1
"loc1506",0.125,0.1429,0
"loc1507",0,0.2619,0.3444
"loc1508",0,0,0.1889
"loc1509",0.4821,0.2619,0.5333
"loc1510",0,0.1429,0.2667
"loc1511",0.4821,0.4524,0.3889
"loc1512",0.3214,0.3571,0.1889
"loc1513",0.5357,0.3571,0.5222
"loc1514",0.5,0.5,0.4667
"loc1515",0.125,0,0.1
"loc1516",0.125,0.4524,0.4444
"loc1517",0.125,0,0.1
"loc1518",0.4821,0.5238,0.3889
"loc1519",0.2321,0,0.1
"loc1520",0,0.2619,0
"loc1521",0.125,0,0.1
"loc1522",0.2321,0.1429,0.3889
"loc1523",0.125,0,0.1889
"loc1524",0.125,0,0.1889
"loc1525",0.125,0.1429,0.1
"loc1526",0.2321,0.2619,0.4
"loc1527",0.5357,0.5476,0.5222
"loc1528",0,0.1429,0.1889
"loc1529",0.2321,0.1429,0.1889
